"SettlementPoint","Year","Month","HourlyVolatility"
"HB_HOUSTON","2017","October",23.3257156268613
"HB_HOUSTON","2018","October",10.8374285272529
"HB_HOUSTON","2019","October",55.0885931424054
"HB_HUBAVG","2016","October",16.8169645784579
"HB_HUBAVG","2017","October",12.0530856769883
"HB_HUBAVG","2018","October",10.165972310649
"HB_HUBAVG","2019","October",53.4173839462654
"HB_NORTH","2016","October",15.3903325283028
"HB_NORTH","2017","October",7.79116843057876
"HB_NORTH","2018","October",10.3349670465728
"HB_NORTH","2019","October",53.3236016128693
"HB_PAN","2019","October",60.3369154063103
"HB_SOUTH","2016","October",17.6715677235744
"HB_SOUTH","2017","October",11.443610361693
"HB_SOUTH","2018","October",9.64719083372577
"HB_SOUTH","2019","October",52.0651182755333
"HB_WEST","2016","October",15.8058191816038
"HB_WEST","2017","October",8.01605077099721
"HB_WEST","2018","October",10.3150922098803
"HB_WEST","2019","October",54.1175711028041
"HB_BUSAVG","2016","November",6.37815155328799
"HB_BUSAVG","2017","November",8.31051267552798
"HB_BUSAVG","2018","November",11.5984200533074
"HB_BUSAVG","2019","November",14.6383935520287
"HB_HOUSTON","2016","November",7.43123449654213
"HB_HOUSTON","2017","November",12.6867341049633
"HB_HOUSTON","2018","November",11.6982942588764
"HB_HOUSTON","2019","November",14.300458495621
"HB_HUBAVG","2016","November",6.54453612287904
"HB_HUBAVG","2017","November",8.90253711287134
"HB_HUBAVG","2018","November",11.8201058694918
"HB_HUBAVG","2019","November",14.5403688688645
"HB_NORTH","2016","November",6.10173153006315
"HB_NORTH","2017","November",7.56865960878437
"HB_NORTH","2018","November",11.5962950530948
"HB_NORTH","2019","November",15.1213418068797
"HB_PAN","2019","November",16.6900072567103
"HB_SOUTH","2016","November",6.91830039946562
"HB_SOUTH","2017","November",8.78721189423411
"HB_SOUTH","2018","November",11.0022051511097
"HB_SOUTH","2019","November",13.4976905405098
"HB_WEST","2016","November",6.29659594051488
"HB_WEST","2017","November",8.2925048034785
"HB_WEST","2018","November",13.6582349975231
"HB_WEST","2019","November",15.6952365074959
"HB_BUSAVG","2016","December",11.1053032973992
"HB_BUSAVG","2017","December",5.19330756504688
"HB_BUSAVG","2018","December",10.1230665568628
"HB_BUSAVG","2019","December",6.74497591753129
"HB_HOUSTON","2016","December",11.3232046153001
"HB_HOUSTON","2017","December",5.16286630772202
"HB_HOUSTON","2018","December",9.87905452019568
